FISH 200 KNIFE,[]
WHI 32264,"['https://www.amazon.com/Wiha-32264-Insulated-Driver-125mm/dp/B001IDJRD4', 'https://www.kctoolco.com/wiha-32264-1-4-x-125mm-insulated-nut-driver/', 'https://www.wihatools.com/insulated-nut-driver-1-4-x-125mm', 'https://www.toolnut.com/wiha-32264-insulated-nut-driver-1-4-quot-x-125mm.html', 'https://www.ebay.com/itm/Wiha-32264-1-4-x-125mm-Insulated-Nut-Driver-/152115618979', 'https://www.walmart.com/ip/Wiha-32264-Insulated-Nut-Driver-1000-Volt-1-4-x-125mm/880589643']"
APL T57,"['https://www.elliottelectric.com/P/Item/APP/T57/', 'https://www.ebay.com/itm/APPLETON-APP-T57-1-1-2-GRAYLOY-FM7-CONDUIT-BODY-TYPE-T-NEW-IN-BOX-/173794034228', 'https://www.rexelusa.com/p/24718/appleton-conduit-body-type-t-1-1-2-form-7-grayloy-iron-781381507110-t57', 'https://www.platt.com/platt-electric-supply/Conduit-Bodies-Iron-Type-T/Cooper-Crouse-Hinds/T57/product.aspx?zpid=721967', 'https://www.vikingelectric.com/product/detail/54912/KILLARK-T57']"
NEL LT3-JT,[]
GEN 280170,[]
12XHHWGRN25,"['https://www.needco.com/product/detail/XHHW-Copper-WIC-XHHW-12-STR-GRN-2500R?s=55421', 'https://denver.portalced.com/Product/WIRE/XHHW12STRORG/']"
PAC POCF3,['https://www.packardonline.com/products/pdcf3/']
BL 9A-2130,"['https://www.rexelusa.com/usr/Root-Category/Fittings/Strut---Fittings-%26-Support/Strut-Support/Strut-to-Beam-Clamps/Eaton-B-Line-9A-2130-Cable-Tray-Grounding-Clamp%2C-6-AWG-to-250-MCM%2C-Tin-Plated-Aluminum/p/76316', 'https://www.platt.com/platt-electric-supply/Strut-Support-to-Beam-Clamps/Eaton-B-Line/9A2130/product.aspx?zpid=177082', 'https://www.gexpro.com/usg/Root-Category/Fittings/Strut---Fittings-%26-Support/Beam-Clamps-For-Channel-Raceway/Beam-Clamp-For-Strut/Cooper-B-Line-9A-2130-Cable-Tray-Grounding-Clamp%2C-6-AWG-to-250-MCM%2C-Tin-Plated-Aluminum/p/76316', 'https://www.electrozad.com/2691960/Product/B-Line-9A-2130', 'https://www.stateelectric.com/products/b-line-9a-2130/', 'https://www.elliottelectric.com/P/Item/BLI/9A2130/']"
UNI 032N036,['https://www.kellyhayes.com/032n036eg-unistrut-2-od-cush-a-clamp-strut-clamp-assembly-electro-galvanized-clamp.html']
JOH VFD66FAA-2C,[]
NIC CR14250SE013102,['https://www.bhphotovideo.com/c/product/831300-REG/Watson_cr123a_3v_CR123A_Rechargeable_Lithium_Ion_Battery.html']
1BELDEN 6321UL-002-1000,['https://belden.com/products/cable/safety-sound-security/fire-alarm-cable/6321ul']
ENT 10150125,[]
NIC CR17450ER013102,['https://www.ebay.com/p/886355946']
WMF2,['https://www.sanus.com/en_us/products/mounts/vmf518/']
INT K4121C,"['https://www.elliottelectric.com/P/Item/INT/K4121C/', 'https://www.mainelectricsupply.com/itemdetail/ITSK4121C', 'https://www.walmart.com/ip/Intermatic-K4121C-120-Volt-Stem-Mount-Thermal-Photocontrol/165906871', 'https://www.gordonelectricsupply.com/p/Int-Mat-K4121C-120V-Fix-Pos/21246']"
RYC RVC-3V,['https://secure.libertycable.com/']
GE EVB44,[]
500BARE,['https://www.platt.com/platt-electric-supply/Bare-Copper-Stranded/Multiple/500BCSTRX500/product.aspx?zpid=62927']
ENT 11695115,[]
HUB BR20I,"['https://www.johnson-electric.com/buy/product/hub-br20i-20a-125v-dup-rec/15989', 'https://www.mainelectricsupply.com/itemdetail/HUBBR20I', 'https://www.gordonelectricsupply.com/p/Hubbell-Br20I-Ivy-20A-125V-Dplx-Rcpt/6004654', 'https://www.amazon.com/Leviton-BR20-I-Duplex-Receptacle-5-20R/dp/B008SC38DS', 'https://www.springfieldelectric.com/index.jsp?path=find&ID=%2CWiring.Devices%2CReceptacles&ds=dept&process=search&display=thumb&qdx=0&itemsperpage=60&sortby=availSort&narrowby=&nstr=&pl=&ph=&pagenum=2', 'https://www.legrand.us/wiring-devices/outlets-and-receptacles/commercial-receptacles/commercial-spec-grade-receptacle-side-wire-20a-125v-gray/p/cr20w']"
DWY 4200BNIST,[]
ALF UO50001001,[]
LIG LEC-361,['https://www.walmart.com/ip/6V-1-3Ah-Sonnenschein-LCR6V1-3P-Emergency-Light-Battery-2-Pack/913735657']
DUR DX2400B2N,['https://www.walmart.com/ip/Duracell-1-2V-Rechargeable-AAA-Batteries-4-Pack/26120756']
GRC 200X600,"['https://www.elliottelectric.com/P/Item/ROB/2X6/', 'https://www.ebay.com/itm/Rigid-Galvanized-Conduit-Nipple-3-x-6-Electrical-Fitting-RN-300x600-/331877553634']"
GRC 112X600,[]
GRC 112X400,[]
GRC 100X600,['https://www.ebay.com/itm/231985790524']
GRC 034X600,"['https://www.rexelusa.com/p/36176/3-4-x-4-galvanized-conduit-nipple/786692004365/grc075x400', 'https://www.mrsupply.com/rigid-steel-conduit-nipples-3-4-x-close-galvanized.html']"
GRC 034X400,"['https://www.rexelusa.com/p/36176/3-4-x-4-galvanized-conduit-nipple/786692004365/grc075x400', 'https://www.platt.com/platt-electric-supply/Nipples-Steel/Multiple/342RNP/product.aspx?zpid=16400']"
BEL B9B037,[]
ROS 248HANAN0NSF6,[]
MEL MB202,['https://www.graybar.com/electrical-boxes/c/electrical-boxes']
ALP 5857-5,[]
CAR B114R,"['https://www.amazon.com/Carlon-B114R-UPC-Lamson-Products-Number-1G/dp/B000GATNU2', 'https://www.acehardware.com/departments/lighting-and-electrical/boxes-fittings-and-conduit/boxes/30733', 'https://www.ebay.com/itm/303611587656', 'https://www.platt.com/platt-electric-supply/Switch-Outlet-Boxes-Non-Metallic-Old-Work/Carlon/B114R-UPC/product.aspx?zpid=186423', 'https://www.walmart.com/ip/Thomas-Betts-B114R-UPC-PVC-1-Gang-Old-Work-Non-Metallic-Outlet-Box-4-1-8-Inch-x-2-1-4-x-2-3-4-Inch-14-Cubic-Inch-Carlon/180299919', 'http://lanotaria96.com/311336/Products-Number1G-Old-Work-Box-Pack/', 'https://shop.kendallelectric.com/buy/product/S118W-P-S-CUT-IN-PLASTIC-SWITCH/70701']"
BRY GFR53,['https://www.amazon.com/Hubbell-Wiring-Commercial-Standard-Receptacle-AutoguardTM/dp/B01MSAY1CJ']
AMA CORD,"['https://gistgear.com/electronics/audio/telephone-handset-cords', 'https://www.walmart.com/c/kp/12-foot-phone-cords', 'https://www.amazon.co.uk/Rotating-Telephone-Detangler-Clear-Black/dp/B001B0B0RA']"
BEL 9731,[]
WHE UTA-WH-VPS,"['https://www.eaton.com/us/en-us/skuPage.UTA-WH-VPS.html', 'https://www.amazon.com/Wheelock-WH-UTA-VPS-Universal-Alert-Strobe/dp/B000RJN18W']"
BUY PDC100,['https://www.amazon.com/RAYCHEM-Heavy-Shrink-Polyolefin-Ratio/dp/B07J2WV3W2']
SAN CR14250SE,[]
WEE 305-01A-E-8-C/F-009.0-Z006,[]
UTI LA1600830LED,[]
LIT U079903 REPL,"['https://www.citylightsusa.com/lithonia-u079903-support-clip-for-t8-fluorescent-lamps/', 'https://www.prosourcelighting.com/index.jsp?path=product&title=[.psl1].u079903&part=221271']"
STR 85177,"['https://www.walmart.com/ip/Streamlight-CR123A-3V-Lithium-Batteries-12-pack/23247331', 'https://www.ebay.com/p/710040179', 'https://gritroutdoors.com/streamlight-lithium-batteries-12-pack-85177/', 'https://www.ceshowroom.com/Streamlight-85177-Strmlght-3V-Lithium-Ba-p/0080926851771.htm']"
TUR B8141-0,[]
STR 73001,"['https://www.agonow.com/STR-73001', 'https://www.walmart.com/ip/Streamlight-LED-10-lumens-Flashlight/17011860', 'https://www.rexelusa.com/p/166363/streamlight/led-key-chain-flashlight/080926730014/73001']"
EAG 13017W,"['https://www.elliottelectric.com/P/Item/EWD/13017W/', 'https://www.eaton.com/us/en-us/skuPage.1301-7W.html', 'https://www.mainelectricsupply.com/itemdetail/CWD13017W', 'https://www.homelectrical.com/15-amp-single-pole-toggle-switch-auto-ground-residential-white.etw-13017w.1.html', 'https://www.gordonelectricsupply.com/p/Cooper-1301-7W-Sp-15A-120V-Ac-Sw/6044030', 'https://www.platt.com/platt-electric-supply/Residential-Switches-15-Amp-Toggle/Cooper-Wiring-Devices/1301-7W/product.aspx?zpid=10082428', 'https://www.fruitridgetools.com/electrical/switches/toggle-switch/single-pole/15a/eagle-electric-brown-toggle-wall-light-switch-quiet-single-pole-15a-120v-1301-7b-bulk/']"
TAP 1680AB3M/VNTC/BLACK,[]
RAC 907,"['https://www.hubbell.com/raco/en/Products/Electrical-Electronic/Boxes/4-in-Square-Boxes-Covers/907C/p/1670787', 'https://www.ballardindustrial.com/2424223/Product/Hubbell-907C', 'https://www.platt.com/platt-electric-supply/4-Square-Boxes-Accessories-Exposed-Work-Covers/Hubbell-Raco/907C/product.aspx?zpid=211968', 'https://www.buyblazer.com/buy/product/rac-907c/3478']"
CC 068536304,[]
NEE CNN100,"['https://www.platt.com/platt-electric-supply/Nipples-Chase-Nipples/Appleton/CNN100/product.aspx?zpid=518470', 'https://www.garvinindustries.com/chn-50100', 'https://www.elliottelectric.com/P/Item/BRI/1102DC/', 'https://www.elliottelectric.com/P/Item/APP/CNN500/', 'https://www.turtle.com/971631/Product/t-b-industrial-fitting-842-tb', 'https://www.cesco.com/Eaton-Crouse-Hinds-series-50D-Midwest-50D-Conduit-Bushed-Nipple-1-2-Inch-Threaded-Die-Cast-Zinc/p1893625', 'https://www.amazon.com/Halex-07015-Conduit-Nipple-Chrome/dp/B00111C0E6']"
ERI 3000037EG,"['https://www.elliottelectric.com/P/Item/CAD/3000037EG/', 'https://kscdirect.com/item/CAD%2B3000037EG/CADDY%2BFASTENERS%2BERICO%2BPRODUCTS_300%2BUniversal%2BBeam%2BClamp%252C%2BEG%252C%2B3%252F8%2522%2BRod%252C%2B13%252F16%2522%2BMax%2BFlange', 'https://www.stateelectric.com/products/erico-3000037eg/']"
TCP 1R201441K,"['https://www.monarchelectric.com/tcp-1r201441k-r20-compact-fluorescent-flood-light-14-watt-e26-medium-base-82-cri-4100k-springlamp-reg-16850', 'https://www.commercialbulbs.com/item/0021067/12-pack-tcp-1r201441k-14w-r20-cfl-light-bulb', 'https://www.bulbs.com/product/1R201441K', 'https://genesislamp.com/products/tcp-1r201441k-floodlight-compact-fluorescent-light-bulb.html']"
HUB 2720A,"['https://www.platt.com/platt-electric-supply/Nema-Twistlock-Single-Receptacles-30-Amp-Receptacles/Leviton/2720/product.aspx?zpid=161709', 'https://www.hubbell.com/hubbell/en/Products/Electrical-Electronic/Wiring-Devices/Locking-Devices/Insulgrip-Twist-Lock/HBL2720/p/1638237', 'https://www.rexelusa.com/usr/Root-Category/Wiring-Devices/Nema-Twistlock/Nema-Twistlock-Single-Receptacles/30-Amp---Twistlock-Receptacles/c/CT4171', 'https://www.leviton.com/en/products/2720']"
NAP 730-1046,"['https://www.ebay.com/itm/New-Napa-Balkamp-12V-Horn-730-1046-/124128679322', 'https://www.ebay.com/itm/Napa-Horn-730-1059-/361645855667', 'https://m.ebay.ie/itm/New-Napa-Balkamp-12V-Horn-730-1046-/124128679322']"
COM 6202,['https://www.amazon.com/Wire%EF%BC%8C66ft-Electrical-conductor-wire%EF%BC%8CTinned-temperatures/dp/B07SCJ69H4']
PVC 034FSCC,"['https://www.amazon.com/Cantex-Weatherproof-Box-Hub-PVC/dp/B0086GQ428', 'https://www.amazon.com/Cantex-Weatherproof-Box-2Inlets-PVC/dp/B0078RSE2O', 'https://www.gordonelectricsupply.com/p/Ctx-5133401-3-4-2G-Pvc-Fscc-Box/5895910']"
PHO REL-IR/LPD-60DC/2X21-2833958,['https://www.alliedelec.com/product/phoenix-contact/2834025/70170706/']
PRO P4962,['https://www.progress.lightingnewyork.com/product/progress-square-glass-flush-mount-p4962-30.html']
EAG 13017V,"['https://www.elliottelectric.com/P/Item/EWD/13017V/', 'https://www.eaton.com/us/en-us/skuPage.1301V.html', 'https://www.ebay.com/p/1900130566', 'https://www.walmart.com/ip/Eaton-Cooper-1301-7V-SP-L-Toggle-Switch-1-Pole-Grounding-15A-120V-Ivory/358050425', 'https://www.legrand.us/passandseymour/light-switches/toggle/660sig.aspx', 'https://www.legrand.us/wiring-devices/light-switches-and-dimmers/nafta-compliant/15a-120v-trademaster-single-pole-illuminated-toggle-switch-ivory/p/660islg']"
20/24PRXLPHYPSPOS,[]
LIT L232120GESB,[]
ENT 10300226,"['https://www.elliottelectric.com/P/Item/ENT/020635116/', 'https://www.rexelusa.com/p/61098/abb-end-stop-bam-2-gray-with-steel-clamp-10mm-discontinued--020635116', 'http://www.partlancer.com/sitemap/sitemap_2.php']"
DWY VFA4SSV,[]
HUB EZ2-I,"['https://www.cesco.com/Hubbell-Lighting-EZ-2I-Hubbell-Lighting-Dual-Lite-EZ-2I-EZ-2-trade-Double-Head-Emergency-Light-Fixture-120-277-Volt-AC-14-4-Watt-At-1-1-2-Hour-Bright-White/p1969917', 'https://www.hubbell.com/dual-lite/en/Products/Lighting-Controls/Emergency-Exit-Lighting/Emergency-Lighting-Units/EZ-2-Series/p/208987', 'https://www.walmart.com/ip/Dual-Lite-EZ-2-220V-6V-4-5Ah-Emergency-Light-Battery-This-is-an-AJC-Brand-Replacement/110141651', 'https://www.elliottelectric.com/P/Item/ItemCompare/?Catalog1=EZ2&Vendor1=HUB&Catalog2=CV2&Vendor2=HUB']"
14/7 GENFREE,[]
STR 51016,"['https://wfgear.com/p-15514-streamlight-51016-task-light-3aa-with-alkaline-batteries-clam-tit.aspx', 'https://www.alliedelec.com/streamlight-51016/70865483/']"
ENT 11527122,"['https://www.platt.com/platt-electric-supply/Feed-Through-Ground-Blocks-Terminal-Double-Deck/Entrelec/011527122/product.aspx?zpid=20099', 'https://www.rexelusa.com/usr/Root-Category/Control%2C-Automation/Terminal-Blocks/Feed-Through-%26-Ground-Blocks/Terminal-Blocks---Double-Deck/Entrelec-011527122-Terminal-Block%2C-Feed-Through%2C6mm%2C-Double-Deck%2C-Type%3A-M-4-6-D2%2C-Gray/p/148104']"
GEM 8766,"['https://www.midwesttechnology.com/pass-seymour-dead-front-cap-male-plug-w-ground/', 'https://www.ebay.com/p/7041930887']"
GE Q500T2/5/CL,"['https://www.ebay.com/itm/Q500T2-5CL-GE-HALOGEN-LIGHT-BULB-23731-TWO-Pack-/222338005454', 'https://www.bhphotovideo.com/c/product/1418388-REG/general_electric_23731_q500t3_cl_500_watts_halogen.html', 'https://www.replacementlightbulbs.com/lampsmiscq.html', 'https://www.ebay.com.au/itm/360930526796', 'https://www.skygeek.com/general-electric-q500t3cl-lamp-halogen-120v-500w-ge23761.html']"
6/3 NMB,"['https://www.southwire.com/wire-cable/building-wire/romex-brand-simpull-type-nm-b-cable/p/63950007', 'https://www.capitalelectricsupply.com/product/detail/Romex-Wire-WIC-ROMEX-6-3-W-GRD-MR/?s=301447']"
10STR,"['https://www.walterswholesale.com/thhn-10-str-pur-2500r-stranded-copper-thhn-cable-10-awg-purple-62351', 'https://www.southwire.com/wire-cable/building-wire/simpull-thhn-copper-wire/p/22975736', 'https://www.hzelectric.com/encore-wire-thhn-10-str-gn-pullpro-500-stranded-copper-thhn-cable-10-awg-500-ft-coil-green-pullpro-reg-349464']"
18/1PRSHLD,"['https://www.rexelusa.com/p/1134662/spot-hw27901801-18-1pr-shld-type-p/spot-hw27901801-18-1pr-shld-type-p', 'https://www.mayerelectric.com/Product/BELDEN-CABLE-18-1PR-SHLD-PE-BLD8760', 'https://www.platt.com/platt-electric-supply/Fire-Alarm-Cable-Plenum-Shielded/Belden/BLD5300FE/product.aspx?zpid=325601', 'https://anaheimwire.online/westpenn-293-mlt-18-1pr-shld-08/', 'https://www.adiglobaldistribution.us/Catalog/New/new-4000-Wire-Cable/Q3-10601801']"
WOR 3979,[]
BRA PCK5,"['https://ebhorsman.com/itemDetail?p=29120', 'https://www.walmart.com/ip/2PK-Brady-PCK-5-TLS2200-Label-Maker-Cleaning-Kit/860831196', 'https://www.electricalsupplies.com/ProductDetail.asp?InventorySys=962573']"
ALP 5855-8,"['https://www.sec.gov/Archives/edgar/data/1575311/000000000017031434/0000000000-17-031434.txt', 'https://www.sec.gov/Archives/edgar/data/790715/000092189512001512/0000921895-12-001512.txt']"
OMN K32202,[]
SEP CR1,"['https://www.elliottelectric.com/P/Item/BRI/1525DC/', 'https://www.gordonelectricsupply.com/p/Bridgeport-1525Dc-2-Offset-Nipple/39385', 'https://www.escctr.net/electrical-products/1500-guarantee/', 'https://www.bptfittings.com/store/nipple-offset-zinc-die-cast-size-2-inch.html', 'https://www.rexelusa.com/p/271667/bridgeport-fittings/1-2-offset-nipple/781747915207/1520-dc']"
BEL 1583A,['https://catalog.belden.com/index.cfm?event=pd&p=PF_1583A']
GE F26DBX/835/4P/EOL,['https://www.atlantalightbulbs.com/light-bulbs/compact-fluorescent-bulbs-plug-in/cfl-plug-in-double-twin-tube-4-pin-base/f26dbx-spx35-4p-eol-ge/']
